time,geo,unit,s_adj,na_item,value
1975Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
